;path;path_without;group;xmin;ymin;xmax;ymax;category_codes
29;.\data\deep_pcb_tangsali5201\group20085/20085/20085004_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085004_temp.jpg;group20085;289;94;313;130;5
30;.\data\deep_pcb_tangsali5201\group20085/20085/20085004_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085004_temp.jpg;group20085;24;453;48;480;6
31;.\data\deep_pcb_tangsali5201\group20085/20085/20085004_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085004_temp.jpg;group20085;200;593;226;616;7
32;.\data\deep_pcb_tangsali5201\group20085/20085/20085004_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085004_temp.jpg;group20085;570;65;598;89;7
33;.\data\deep_pcb_tangsali5201\group20085/20085/20085004_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085004_temp.jpg;group20085;370;216;405;241;5
34;.\data\deep_pcb_tangsali5201\group20085/20085/20085004_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085004_temp.jpg;group20085;164;40;195;64;6
35;.\data\deep_pcb_tangsali5201\group20085/20085/20085005_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085005_temp.jpg;group20085;340;347;369;371;2
36;.\data\deep_pcb_tangsali5201\group20085/20085/20085005_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085005_temp.jpg;group20085;496;33;522;54;2
37;.\data\deep_pcb_tangsali5201\group20085/20085/20085005_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085005_temp.jpg;group20085;116;390;144;415;5
38;.\data\deep_pcb_tangsali5201\group20085/20085/20085005_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085005_temp.jpg;group20085;437;289;469;315;5
39;.\data\deep_pcb_tangsali5201\group20085/20085/20085005_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085005_temp.jpg;group20085;527;453;553;477;6
40;.\data\deep_pcb_tangsali5201\group20085/20085/20085005_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085005_temp.jpg;group20085;523;177;548;204;6
41;.\data\deep_pcb_tangsali5201\group20085/20085/20085005_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085005_temp.jpg;group20085;201;445;227;469;7
42;.\data\deep_pcb_tangsali5201\group20085/20085/20085005_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085005_temp.jpg;group20085;177;160;206;183;7
43;.\data\deep_pcb_tangsali5201\group20085/20085/20085005_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085005_temp.jpg;group20085;404;33;455;72;4
44;.\data\deep_pcb_tangsali5201\group20085/20085/20085006_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085006_temp.jpg;group20085;263;77;334;107;4
45;.\data\deep_pcb_tangsali5201\group20085/20085/20085006_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085006_temp.jpg;group20085;363;279;387;301;2
46;.\data\deep_pcb_tangsali5201\group20085/20085/20085006_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085006_temp.jpg;group20085;122;392;146;414;2
47;.\data\deep_pcb_tangsali5201\group20085/20085/20085006_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085006_temp.jpg;group20085;122;264;153;288;2
48;.\data\deep_pcb_tangsali5201\group20085/20085/20085006_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085006_temp.jpg;group20085;411;178;439;205;5
49;.\data\deep_pcb_tangsali5201\group20085/20085/20085006_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085006_temp.jpg;group20085;32;505;61;528;6
50;.\data\deep_pcb_tangsali5201\group20085/20085/20085006_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085006_temp.jpg;group20085;427;84;448;107;7
51;.\data\deep_pcb_tangsali5201\group20085/20085/20085006_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085006_temp.jpg;group20085;379;484;416;521;7
52;.\data\deep_pcb_tangsali5201\group20085/20085/20085007_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085007_temp.jpg;group20085;284;213;312;255;2
53;.\data\deep_pcb_tangsali5201\group20085/20085/20085007_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085007_temp.jpg;group20085;491;389;530;417;5
54;.\data\deep_pcb_tangsali5201\group20085/20085/20085007_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085007_temp.jpg;group20085;72;230;96;252;6
55;.\data\deep_pcb_tangsali5201\group20085/20085/20085007_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085007_temp.jpg;group20085;417;108;450;136;6
56;.\data\deep_pcb_tangsali5201\group20085/20085/20085007_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085007_temp.jpg;group20085;313;415;339;437;7
57;.\data\deep_pcb_tangsali5201\group20085/20085/20085007_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085007_temp.jpg;group20085;384;299;410;329;7
58;.\data\deep_pcb_tangsali5201\group20085/20085/20085008_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085008_temp.jpg;group20085;288;515;313;542;2
59;.\data\deep_pcb_tangsali5201\group20085/20085/20085008_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085008_temp.jpg;group20085;406;527;434;569;2
60;.\data\deep_pcb_tangsali5201\group20085/20085/20085008_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085008_temp.jpg;group20085;298;213;323;244;6
61;.\data\deep_pcb_tangsali5201\group20085/20085/20085008_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085008_temp.jpg;group20085;477;363;505;393;6
62;.\data\deep_pcb_tangsali5201\group20085/20085/20085008_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085008_temp.jpg;group20085;333;600;360;625;7
63;.\data\deep_pcb_tangsali5201\group20085/20085/20085009_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085009_temp.jpg;group20085;270;390;295;435;4
64;.\data\deep_pcb_tangsali5201\group20085/20085/20085009_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085009_temp.jpg;group20085;534;408;594;445;4
65;.\data\deep_pcb_tangsali5201\group20085/20085/20085009_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085009_temp.jpg;group20085;447;269;481;296;2
66;.\data\deep_pcb_tangsali5201\group20085/20085/20085009_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085009_temp.jpg;group20085;404;340;429;371;5
67;.\data\deep_pcb_tangsali5201\group20085/20085/20085009_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085009_temp.jpg;group20085;531;259;559;290;5
68;.\data\deep_pcb_tangsali5201\group20085/20085/20085009_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085009_temp.jpg;group20085;333;98;357;123;7
69;.\data\deep_pcb_tangsali5201\group20085/20085/20085009_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085009_temp.jpg;group20085;458;496;488;520;7
70;.\data\deep_pcb_tangsali5201\group20085/20085/20085010_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085010_temp.jpg;group20085;271;512;295;556;4
71;.\data\deep_pcb_tangsali5201\group20085/20085/20085010_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085010_temp.jpg;group20085;457;349;483;373;2
72;.\data\deep_pcb_tangsali5201\group20085/20085/20085010_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085010_temp.jpg;group20085;440;516;473;547;2
73;.\data\deep_pcb_tangsali5201\group20085/20085/20085010_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085010_temp.jpg;group20085;193;564;225;589;5
74;.\data\deep_pcb_tangsali5201\group20085/20085/20085010_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085010_temp.jpg;group20085;260;301;285;334;5
75;.\data\deep_pcb_tangsali5201\group20085/20085/20085010_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085010_temp.jpg;group20085;201;122;227;150;6
76;.\data\deep_pcb_tangsali5201\group20085/20085/20085010_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085010_temp.jpg;group20085;92;480;121;506;6
77;.\data\deep_pcb_tangsali5201\group20085/20085/20085010_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085010_temp.jpg;group20085;497;447;522;470;7
78;.\data\deep_pcb_tangsali5201\group20085/20085/20085011_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085011_temp.jpg;group20085;500;225;525;262;5
79;.\data\deep_pcb_tangsali5201\group20085/20085/20085011_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085011_temp.jpg;group20085;320;583;357;622;3
80;.\data\deep_pcb_tangsali5201\group20085/20085/20085011_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085011_temp.jpg;group20085;322;327;353;349;3
81;.\data\deep_pcb_tangsali5201\group20085/20085/20085011_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085011_temp.jpg;group20085;374;390;452;416;4
82;.\data\deep_pcb_tangsali5201\group20085/20085/20085011_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085011_temp.jpg;group20085;92;320;124;350;6
83;.\data\deep_pcb_tangsali5201\group20085/20085/20085011_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085011_temp.jpg;group20085;436;144;465;176;7
84;.\data\deep_pcb_tangsali5201\group20085/20085/20085011_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085011_temp.jpg;group20085;541;548;575;587;4
85;.\data\deep_pcb_tangsali5201\group20085/20085/20085012_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085012_temp.jpg;group20085;213;425;242;452;6
86;.\data\deep_pcb_tangsali5201\group20085/20085/20085012_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085012_temp.jpg;group20085;438;106;464;155;4
87;.\data\deep_pcb_tangsali5201\group20085/20085/20085012_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085012_temp.jpg;group20085;382;205;418;238;5
88;.\data\deep_pcb_tangsali5201\group20085/20085/20085012_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085012_temp.jpg;group20085;284;67;311;90;2
89;.\data\deep_pcb_tangsali5201\group20085/20085/20085012_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085012_temp.jpg;group20085;329;0;356;19;3
90;.\data\deep_pcb_tangsali5201\group20085/20085/20085012_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085012_temp.jpg;group20085;435;11;464;44;3
91;.\data\deep_pcb_tangsali5201\group20085/20085/20085012_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085012_temp.jpg;group20085;569;32;596;58;7
92;.\data\deep_pcb_tangsali5201\group20085/20085/20085013_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085013_temp.jpg;group20085;503;597;542;622;3
93;.\data\deep_pcb_tangsali5201\group20085/20085/20085013_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085013_temp.jpg;group20085;358;489;393;513;2
94;.\data\deep_pcb_tangsali5201\group20085/20085/20085013_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085013_temp.jpg;group20085;426;411;456;437;5
95;.\data\deep_pcb_tangsali5201\group20085/20085/20085013_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085013_temp.jpg;group20085;232;159;266;185;6
96;.\data\deep_pcb_tangsali5201\group20085/20085/20085013_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085013_temp.jpg;group20085;129;464;161;491;7
97;.\data\deep_pcb_tangsali5201\group20085/20085/20085014_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085014_temp.jpg;group20085;575;388;601;408;3
98;.\data\deep_pcb_tangsali5201\group20085/20085/20085014_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085014_temp.jpg;group20085;581;487;616;508;4
99;.\data\deep_pcb_tangsali5201\group20085/20085/20085014_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085014_temp.jpg;group20085;217;135;246;159;2
100;.\data\deep_pcb_tangsali5201\group20085/20085/20085014_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085014_temp.jpg;group20085;152;213;177;241;5
101;.\data\deep_pcb_tangsali5201\group20085/20085/20085014_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085014_temp.jpg;group20085;59;437;89;460;6
102;.\data\deep_pcb_tangsali5201\group20085/20085/20085014_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085014_temp.jpg;group20085;26;188;59;214;7
103;.\data\deep_pcb_tangsali5201\group20085/20085/20085015_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085015_temp.jpg;group20085;458;215;488;239;3
104;.\data\deep_pcb_tangsali5201\group20085/20085/20085015_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085015_temp.jpg;group20085;442;384;481;407;4
105;.\data\deep_pcb_tangsali5201\group20085/20085/20085015_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085015_temp.jpg;group20085;51;375;81;402;2
106;.\data\deep_pcb_tangsali5201\group20085/20085/20085015_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085015_temp.jpg;group20085;297;281;323;303;2
107;.\data\deep_pcb_tangsali5201\group20085/20085/20085015_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085015_temp.jpg;group20085;259;461;288;486;6
108;.\data\deep_pcb_tangsali5201\group20085/20085/20085015_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085015_temp.jpg;group20085;320;120;348;146;7
109;.\data\deep_pcb_tangsali5201\group20085/20085/20085015_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085015_temp.jpg;group20085;518;45;552;70;3
110;.\data\deep_pcb_tangsali5201\group20085/20085/20085015_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085015_temp.jpg;group20085;478;99;505;136;4
111;.\data\deep_pcb_tangsali5201\group20085/20085/20085016_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085016_temp.jpg;group20085;162;229;196;252;3
112;.\data\deep_pcb_tangsali5201\group20085/20085/20085016_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085016_temp.jpg;group20085;587;414;617;435;3
113;.\data\deep_pcb_tangsali5201\group20085/20085/20085016_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085016_temp.jpg;group20085;137;284;189;306;4
114;.\data\deep_pcb_tangsali5201\group20085/20085/20085016_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085016_temp.jpg;group20085;152;45;183;66;2
115;.\data\deep_pcb_tangsali5201\group20085/20085/20085016_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085016_temp.jpg;group20085;145;347;183;372;5
116;.\data\deep_pcb_tangsali5201\group20085/20085/20085016_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085016_temp.jpg;group20085;408;406;435;429;6
117;.\data\deep_pcb_tangsali5201\group20085/20085/20085016_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085016_temp.jpg;group20085;338;559;363;580;7
118;.\data\deep_pcb_tangsali5201\group20085/20085/20085017_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085017_temp.jpg;group20085;496;189;525;209;3
119;.\data\deep_pcb_tangsali5201\group20085/20085/20085017_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085017_temp.jpg;group20085;521;397;546;417;3
120;.\data\deep_pcb_tangsali5201\group20085/20085/20085017_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085017_temp.jpg;group20085;610;297;631;338;4
121;.\data\deep_pcb_tangsali5201\group20085/20085/20085017_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085017_temp.jpg;group20085;129;105;154;132;5
122;.\data\deep_pcb_tangsali5201\group20085/20085/20085017_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085017_temp.jpg;group20085;57;413;91;451;6
123;.\data\deep_pcb_tangsali5201\group20085/20085/20085017_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085017_temp.jpg;group20085;72;57;100;84;7
124;.\data\deep_pcb_tangsali5201\group20085/20085/20085017_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085017_temp.jpg;group20085;157;315;211;335;4
125;.\data\deep_pcb_tangsali5201\group20085/20085/20085018_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085018_temp.jpg;group20085;496;207;526;227;3
126;.\data\deep_pcb_tangsali5201\group20085/20085/20085018_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085018_temp.jpg;group20085;544;459;572;484;3
127;.\data\deep_pcb_tangsali5201\group20085/20085/20085018_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085018_temp.jpg;group20085;592;300;619;324;2
128;.\data\deep_pcb_tangsali5201\group20085/20085/20085018_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085018_temp.jpg;group20085;489;151;521;174;5
129;.\data\deep_pcb_tangsali5201\group20085/20085/20085018_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085018_temp.jpg;group20085;504;300;541;320;4
130;.\data\deep_pcb_tangsali5201\group20085/20085/20085018_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085018_temp.jpg;group20085;505;402;541;427;4
131;.\data\deep_pcb_tangsali5201\group20085/20085/20085018_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085018_temp.jpg;group20085;217;498;249;527;6
132;.\data\deep_pcb_tangsali5201\group20085/20085/20085018_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085018_temp.jpg;group20085;200;163;225;187;7
133;.\data\deep_pcb_tangsali5201\group20085/20085/20085019_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085019_temp.jpg;group20085;521;274;545;297;3
134;.\data\deep_pcb_tangsali5201\group20085/20085/20085019_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085019_temp.jpg;group20085;497;374;521;398;3
135;.\data\deep_pcb_tangsali5201\group20085/20085/20085019_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085019_temp.jpg;group20085;539;13;584;36;4
136;.\data\deep_pcb_tangsali5201\group20085/20085/20085019_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085019_temp.jpg;group20085;502;526;539;561;4
137;.\data\deep_pcb_tangsali5201\group20085/20085/20085019_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085019_temp.jpg;group20085;525;450;545;470;2
138;.\data\deep_pcb_tangsali5201\group20085/20085/20085019_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085019_temp.jpg;group20085;123;339;152;365;6
139;.\data\deep_pcb_tangsali5201\group20085/20085/20085019_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085019_temp.jpg;group20085;616;541;639;566;7
140;.\data\deep_pcb_tangsali5201\group20085/20085/20085019_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085019_temp.jpg;group20085;481;131;517;154;5
141;.\data\deep_pcb_tangsali5201\group20085/20085/20085020_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085020_temp.jpg;group20085;399;265;421;288;3
142;.\data\deep_pcb_tangsali5201\group20085/20085/20085020_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085020_temp.jpg;group20085;403;131;442;151;4
143;.\data\deep_pcb_tangsali5201\group20085/20085/20085020_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085020_temp.jpg;group20085;582;360;607;390;4
144;.\data\deep_pcb_tangsali5201\group20085/20085/20085020_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085020_temp.jpg;group20085;363;521;392;541;2
145;.\data\deep_pcb_tangsali5201\group20085/20085/20085020_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085020_temp.jpg;group20085;278;442;311;467;5
146;.\data\deep_pcb_tangsali5201\group20085/20085/20085020_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085020_temp.jpg;group20085;95;218;126;244;6
147;.\data\deep_pcb_tangsali5201\group20085/20085/20085020_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085020_temp.jpg;group20085;124;460;155;488;7
148;.\data\deep_pcb_tangsali5201\group20085/20085/20085020_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085020_temp.jpg;group20085;324;105;354;131;7
149;.\data\deep_pcb_tangsali5201\group20085/20085/20085021_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085021_temp.jpg;group20085;521;510;554;536;2
150;.\data\deep_pcb_tangsali5201\group20085/20085/20085021_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085021_temp.jpg;group20085;140;518;173;544;5
151;.\data\deep_pcb_tangsali5201\group20085/20085/20085021_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085021_temp.jpg;group20085;179;151;216;183;6
152;.\data\deep_pcb_tangsali5201\group20085/20085/20085021_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085021_temp.jpg;group20085;453;578;478;600;7
153;.\data\deep_pcb_tangsali5201\group20085/20085/20085021_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085021_temp.jpg;group20085;139;574;166;599;7
154;.\data\deep_pcb_tangsali5201\group20085/20085/20085022_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085022_temp.jpg;group20085;568;186;590;211;3
155;.\data\deep_pcb_tangsali5201\group20085/20085/20085022_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085022_temp.jpg;group20085;575;472;604;492;3
156;.\data\deep_pcb_tangsali5201\group20085/20085/20085022_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085022_temp.jpg;group20085;584;590;617;611;4
157;.\data\deep_pcb_tangsali5201\group20085/20085/20085022_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085022_temp.jpg;group20085;547;172;568;192;2
158;.\data\deep_pcb_tangsali5201\group20085/20085/20085022_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085022_temp.jpg;group20085;519;368;547;392;5
159;.\data\deep_pcb_tangsali5201\group20085/20085/20085022_test.jpg;.\data\deep_pcb_tangsali5201\group20085/20085/20085022_temp.jpg;group20085;403;458;433;485;6
